Branch,Semester,Subject Name,Syllabus PDF Link
Computer Technology,First Year First Semester,311302-BASIC MATHEMATICS,http://bvcoelp.bharatividyapeeth.edu/iotmumbai/media/pdf/311302-BASIC_MATHEMATICS_210923.pdf
Computer Technology,First Year First Semester,311305-BASIC SCIENCE,http://bvcoelp.bharatividyapeeth.edu/iotmumbai/media/pdf/311305-BASIC_SCIENCE_210923.pdf
Computer Technology,First Year First Semester,311303-COMMUNICATION SKILLS (ENGLISH),http://bvcoelp.bharatividyapeeth.edu/iotmumbai/media/pdf/311303-COMMUNICATION_SKILLS_(ENGLISH)_210923.pdf
Computer Technology,First Year First Semester,311008-ENGINEERING GRAPHICS,http://bvcoelp.bharatividyapeeth.edu/iotmumbai/media/pdf/311008-ENGINEERING_GRAPHICS_210923.pdf
Computer Technology,First Year First Semester,311002-ENGINEERING WORKSHOP PRACTICE,http://bvcoelp.bharatividyapeeth.edu/iotmumbai/media/pdf/311002-ENGINEERING_WORKSHOP_PRACTICE_210923.pdf
Computer Technology,First Year First Semester,311001-FUNDAMENTALS OF ICT,http://bvcoelp.bharatividyapeeth.edu/iotmumbai/media/pdf/311001-FUNDAMENTALS_OF_ICT_210923.pdf
Computer Technology,First Year First Semester,311003-YOGA AND MEDITATION,http://bvcoelp.bharatividyapeeth.edu/iotmumbai/media/pdf/311003-YOGA_AND_MEDITATION_210923.pdf
Computer Technology,First Year Second Semester,312001-LINUX BASICS,http://bvcoelp.bharatividyapeeth.edu/iotmumbai/media/pdf/312001-LINUX_BASICS_271223.pdf
Computer Technology,First Year Second Semester,312002-PROFESSIONAL COMMUNICATION,http://bvcoelp.bharatividyapeeth.edu/iotmumbai/media/pdf/312002-PROFESSIONAL_COMMUNICATION_271223.pdf
Computer Technology,First Year Second Semester,312003-SOCIAL AND LIFE SKILLS,http://bvcoelp.bharatividyapeeth.edu/iotmumbai/media/pdf/312003-SOCIAL_AND_LIFE_SKILLS_271223.pdf
Computer Technology,First Year Second Semester,312004-WEB PAGE DESIGNING,http://bvcoelp.bharatividyapeeth.edu/iotmumbai/media/pdf/312004-WEB_PAGE_DESIGNING_271223.pdf
Computer Technology,First Year Second Semester,312301-APPLIED MATHEMATICS,http://bvcoelp.bharatividyapeeth.edu/iotmumbai/media/pdf/312301-APPLIED_MATHEMATICS_271223.pdf
Computer Technology,First Year Second Semester,312302-BASIC ELECTRICAL AND ELECTRONICS ENGINEERING,http://bvcoelp.bharatividyapeeth.edu/iotmumbai/media/pdf/312302-BASIC_ELECTRICAL_AND_ELECTRONICS_ENGINEERING_271223.pdf
Computer Technology,First Year Second Semester,312303-PROGRAMMING IN C,http://bvcoelp.bharatividyapeeth.edu/iotmumbai/media/pdf/312303-PROGRAMMING_IN_C_271223.pdf
Computer Technology,Second Year Third Semester,313301 - DATA STRUCTURE USING C,http://bvcoelp.bharatividyapeeth.edu/iotmumbai/media/pdf/313301-DATA_STRUCTURE_USING_C_030724.pdf
Computer Technology,Second Year Third Semester,313302 - DATABASE MANAGEMENT SYSTEM,http://bvcoelp.bharatividyapeeth.edu/iotmumbai/media/pdf/313302-DATABASE_MANAGEMENT_SYSTEM_030724.pdf
