Scheme,Branch,Semester,Subject / Test Name,PDF URL,Drive Link
K-Scheme,Computer Technology,First Year First Semester,311305 - Basic Physics - Unit Test - 1,https://bvjniot.bharatividyapeeth.edu/media/pdf/question-banks-syllabus/311305-Basic_Physics-Unit_Test-1_041024.pdf,https://drive.google.com/file/d/1wkrVd-VtZ0fuQXE2xgvGJJqOTvbwaXyd/view?usp=drivesdk
K-Scheme,Computer Technology,First Year First Semester,311305 - Basic Physics - Unit Test - 2,https://bvjniot.bharatividyapeeth.edu/media/pdf/question-banks-syllabus/311305-BASIC_PHYSICS-UNIT_TEST-2_131124.pdf,https://drive.google.com/file/d/1hjDVQs5AxO-GhMbFojpXqye28Ep81YWx/view?usp=drivesdk
K-Scheme,Computer Technology,First Year First Semester,311303 - Communication Skills (English) - Unit Test-1,https://bvjniot.bharatividyapeeth.edu/media/pdf/question-banks-syllabus/Communication_Skills_English-311303_Unit_Test-1_201123.pdf,https://drive.google.com/file/d/1pmZJVk54g0bjVKXKJydATz-optoZaFki/view?usp=drivesdk
K-Scheme,Computer Technology,First Year First Semester,311303 - Communication Skills (English) - Unit Test-2,https://bvjniot.bharatividyapeeth.edu/media/pdf/question-banks-syllabus/Communication_Skills_English-311303_Question_Bank-Unit_Test-2_201123.pdf,https://drive.google.com/file/d/1NVI6KOakXUonsgJCPYkGRiakYQUyWLKE/view?usp=drivesdk
K-Scheme,Computer Technology,First Year First Semester,311305 - Basic Chemistry - Unit Test - 1,https://bvjniot.bharatividyapeeth.edu/media/pdf/question-banks-syllabus/311305_Basic_Chemistry_Unit_Test-1_100924.pdf,https://drive.google.com/file/d/1jTf85kV6pKH0edG7pF5LxokPCBMMPNDD/view?usp=drivesdk
K-Scheme,Computer Technology,First Year First Semester,311305 - Basic Chemistry - Unit Test - 2,https://bvjniot.bharatividyapeeth.edu/media/pdf/question-banks-syllabus/311305-BASIC_CHEMISTRY-UNIT_TEST-2_121124.pdf,https://drive.google.com/file/d/1BMSjsviu46T8RqSbofxQ4jRqZhIUV-y6/view?usp=drivesdk
K-Scheme,Computer Technology,First Year First Semester,311302 - Basic Mathematics - Unit Test - 1,https://bvjniot.bharatividyapeeth.edu/media/pdf/question-banks-syllabus/311302_-_BASIC_MATHEMATICS_-_UNIT_TEST_-_1_020825.pdf,https://drive.google.com/file/d/1d5lT5r6eLhIl56bU05WvPQsES0tuluna/view?usp=drivesdk
K-Scheme,Computer Technology,First Year First Semester,311302 - Basic Mathematics - Unit Test - 2,https://bvjniot.bharatividyapeeth.edu/media/pdf/question-banks-syllabus/QB_BMS-311302-_SEM-I_UT-2_111223.pdf,https://drive.google.com/file/d/16P8qdyOWX7uUj5LlkOcvhPI5V-161X6u/view?usp=drivesdk
K-Scheme,Computer Technology,First Year Second Semester,312301 - Applied Mathematics - Unit Test - 1,https://bvjniot.bharatividyapeeth.edu/media/pdf/question-banks-syllabus/312301-APPLIED_MATHEMATICS-Unit_Test-1_070125.pdf,https://drive.google.com/file/d/1Fkl7h7GCiI43227wCwSQVmAF8WCK4deH/view?usp=drivesdk
K-Scheme,Computer Technology,First Year Second Semester,312301 - Applied Mathematics - Unit Test - 2,https://bvjniot.bharatividyapeeth.edu/media/pdf/question-banks-syllabus/312301-APPLIED_MATHEMATICS-Unit_Test-2_010324.pdf,https://drive.google.com/file/d/1U_j4vZfO5ADyRqHuUB4T7gbJCqOuoYyE/view?usp=drivesdk
K-Scheme,Computer Technology,First Year Second Semester,312302 - Basic Electrical and Electronics Engineering - Unit Test - 1,https://bvjniot.bharatividyapeeth.edu/media/pdf/question-banks-syllabus/312302-BASIC_ELECTRICAL_AND_ELECTRONICS_ENGINEERING-_UNIT_TEST_-_1_170125.pdf,https://drive.google.com/file/d/1_PmNEfmjHycwRf9UJ65xqDwjapA25Tpp/view?usp=drivesdk
K-Scheme,Computer Technology,First Year Second Semester,312302 - Basic Electrical and Electronics Engineering - Unit Test - 2,https://bvjniot.bharatividyapeeth.edu/media/pdf/question-banks-syllabus/UNIT2_QB_BEE_2025_130325.pdf,https://drive.google.com/file/d/1sWQVOxBudvIcnkpaIa-OVr4C6DraLadF/view?usp=drivesdk
