Title,Media URL,Pinterest board,Thumbnail,Description,Link,Publish date,Keywords
"CLIENT SIDE SCRIPTING (316005)","https://msbtenotes-info.netlify.app/resourse/MSBTE%20NOTES%20AND%20INFORMATION.png","MSBTE Study Notes",,"Syllabus, Notes and Important Questions for CLIENT SIDE SCRIPTING.","https://msbtenotes-info.netlify.app/Branches/316005-client-side-scripting.html",,"316005, Information Technology, Semester 6, K-Scheme"
"MOBILE APPLICATION DEVELOPMENT (316006)","https://msbtenotes-info.netlify.app/resourse/MSBTE%20NOTES%20AND%20INFORMATION.png","MSBTE Study Notes",,"Syllabus, Notes and Important Questions for MOBILE APPLICATION DEVELOPMENT.","https://msbtenotes-info.netlify.app/Branches/316006-mobile-application-development.html",,"316006, Artificial Intelligence & Machine Learning, Semester 6, K-Scheme"
"CAPSTONE PROJECT (316004)","https://msbtenotes-info.netlify.app/resourse/MSBTE%20NOTES%20AND%20INFORMATION.png","MSBTE Study Notes",,"Syllabus, Notes and Important Questions for CAPSTONE PROJECT.","https://msbtenotes-info.netlify.app/Branches/316004-capstone-project.html",,"316004, Artificial Intelligence & Machine Learning, Semester 6, K-Scheme"
"Elective: 316315-DIGITAL FORENSIC AND HACKING TECHNIQUES ()","https://msbtenotes-info.netlify.app/resourse/MSBTE%20NOTES%20AND%20INFORMATION.png","MSBTE Study Notes",,"Syllabus, Notes and Important Questions for Elective: 316315-DIGITAL FORENSIC AND HACKING TECHNIQUES.","https://msbtenotes-info.netlify.app/Branches/elective-316315-digital-forensic-and-hacking-techniques.html",,", Information Technology, Semester 6, K-Scheme"
"Elective: 316316-MACHINE LEARNING ()","https://msbtenotes-info.netlify.app/resourse/MSBTE%20NOTES%20AND%20INFORMATION.png","MSBTE Study Notes",,"Syllabus, Notes and Important Questions for Elective: 316316-MACHINE LEARNING.","https://msbtenotes-info.netlify.app/Branches/elective-316316-machine-learning.html",,", Information Technology, Semester 6, K-Scheme"
"Elective: 316317-NETWORK AND INFORMATION SECURITY ()","https://msbtenotes-info.netlify.app/resourse/MSBTE%20NOTES%20AND%20INFORMATION.png","MSBTE Study Notes",,"Syllabus, Notes and Important Questions for Elective: 316317-NETWORK AND INFORMATION SECURITY.","https://msbtenotes-info.netlify.app/Branches/elective-316317-network-and-information-security.html",,", Computer Technology, Semester 6, K-Scheme"
"Electronics and Telecommunication Syllabus & Notes","https://msbtenotes-info.netlify.app/resourse/MSBTE%20NOTES%20AND%20INFORMATION.png","MSBTE Study Notes",,"Official MSBTE K-Scheme Syllabus and Notes for Electronics and Telecommunication.","https://msbtenotes-info.netlify.app/Branches/ETC-Engineering.html",,"Electronics and Telecommunication, K-Scheme, Syllabus"
"Electronics and Telecommunication Semester 1","https://msbtenotes-info.netlify.app/resourse/MSBTE%20NOTES%20AND%20INFORMATION.png","MSBTE Study Notes",,"Download all subjects syllabus and notes for Electronics and Telecommunication Semester 1.","https://msbtenotes-info.netlify.app/Branches/ETC-Engineering-Semester-1.html",,"Electronics and Telecommunication, Semester 1, K-Scheme"
"ENGINEERING WORKSHOP PRACTICE (311007)","https://msbtenotes-info.netlify.app/resourse/MSBTE%20NOTES%20AND%20INFORMATION.png","MSBTE Study Notes",,"Syllabus, Notes and Important Questions for ENGINEERING WORKSHOP PRACTICE.","https://msbtenotes-info.netlify.app/Branches/311007-engineering-workshop-practice.html",,"311007, Electronics and Telecommunication, Semester 1, K-Scheme"
"Electronics and Telecommunication Semester 2","https://msbtenotes-info.netlify.app/resourse/MSBTE%20NOTES%20AND%20INFORMATION.png","MSBTE Study Notes",,"Download all subjects syllabus and notes for Electronics and Telecommunication Semester 2.","https://msbtenotes-info.netlify.app/Branches/ETC-Engineering-Semester-2.html",,"Electronics and Telecommunication, Semester 2, K-Scheme"
"ELECTRONICS WORKSHOP PRACTICE (312008)","https://msbtenotes-info.netlify.app/resourse/MSBTE%20NOTES%20AND%20INFORMATION.png","MSBTE Study Notes",,"Syllabus, Notes and Important Questions for ELECTRONICS WORKSHOP PRACTICE.","https://msbtenotes-info.netlify.app/Branches/312008-electronics-workshop-practice.html",,"312008, Electronics and Telecommunication, Semester 2, K-Scheme"
