Subject,Publication/Description,Year Level,Semester,Download Link
Basic Science (Chemistry),"Tech - Max Publication, Pune",First Year Diploma,Semester - 1,https://drive.google.com/file/d/1d6BYuCNVvnLAe2krluY08Xzyt1TyrgMR/view?usp=drivesdk
Basic Mathematics,"Tech - Max Publication, Pune",First Year Diploma,Semester - 1,https://drive.google.com/file/d/1cyIryxIYqEu8eGrG-Tx3To28dOfj4Ltf/view?usp=drivesdk
Basic Mathematics,Learning Manual,First Year Diploma,Semester - 1,https://drive.google.com/file/d/1d8QCZU7bFM8fyIg6uZWDqmueRXuZ2Dl0/view?usp=drivesdk
Basic Science,Learning Manual,First Year Diploma,Semester - 1,https://drive.google.com/file/d/1dAsIAksBau_HPEyVv6IlPtuFSxSYUNPv/view?usp=drivesdk
Engineering Graphics,"Tech - Max Publication, Pune",First Year Diploma,Semester - 1,https://drive.google.com/file/d/1dBYg-eNR8Jtl2eTLVxOU-oPfjrG_bBam/view?usp=drivesdk
English,Work Book,First Year Diploma,Semester - 1,https://drive.google.com/file/d/1dMx1_E93PNOljTSHDT6-4_NeHDZDDRwH/view?usp=drivesdk
Fundamentals ICT,N/A,First Year Diploma,Semester - 1,https://drive.google.com/file/d/1dR3deTQjXbAWc2Gse-0QiJvu-10XafPo/view?usp=drivesdk
Applied Mathematics,Nirali Publication,First Year Diploma,Semester - 2,https://drive.google.com/file/d/10EFggo4F6CoOzt_HKcvTMRSfIejLosw1/view?usp=drivesdk
Basic Electronic,Technical Publication,First Year Diploma,Semester - 2,https://drive.google.com/file/d/10G84ixIOSOSu_XMXUtYFdKOaZy6D8uMU/view?usp=drivesdk
Programming in C,N/A,First Year Diploma,Semester - 2,https://drive.google.com/file/d/10K1xIqLBEe9HVRtCt-6oQZMEjBAhG7zy/view?usp=drivesdk
Computer Peripherals and Hardware Maintenance,N/A,First Year Diploma,Semester - 2,https://drive.google.com/file/d/10SJjMq3Kk0b2Q2io_Vk5kbDOxu6pV0vk/view?usp=drivesdk
Computer Peripherals and Hardware Maintenance,N/A,First Year Diploma,Semester - 2,https://drive.google.com/file/d/10OGvgIRAgHstuzqZgAehlt5tBKMemdMn/view?usp=drivesdk
Elements of Electrical Engineering,Technical Publication,First Year Diploma,Semester - 2,https://drive.google.com/file/d/10X-VM5atvcXPdMi3CSixMruTMB8KOAKP/view?usp=drivesdk
Elements of Electrical Engineering,Technical Publication,First Year Diploma,Semester - 2,https://drive.google.com/file/d/10_0GaGkZqmhsiPSg1u3Gkf_JDM3uMJLK/view?usp=drivesdk
Web Page Designing with HTML,N/A,First Year Diploma,Semester - 2,https://drive.google.com/file/d/10_kOdJBVs1eKhlvYa6BIc1Xw-YgTCHBZ/view?usp=drivesdk
Programming in C,Technical Publication,First Year Diploma,Semester - 2,https://drive.google.com/file/d/10a03Gd3iLFNBMHQVzD1oeAaXUhIaFRPh/view?usp=drivesdk
Web Page Designing with HTML,Tech - Max Publication,First Year Diploma,Semester - 2,https://drive.google.com/file/d/10qtOfGALB37uhyfPGqU_67sJm5k8VSYA/view?usp=drivesdk
Computer Graphics,N/A,Second Year Diploma,Semester - 3,https://drive.google.com/file/d/12LzE5vK45VItilDr9F-WSEO2xQUYWXIj/view?usp=drivesdk
Database Management System,N/A,Second Year Diploma,Semester - 3,https://drive.google.com/file/d/12Px_HRXSvKZeb9RDW7Ohjmewq0xyKZll/view?usp=drivesdk
Data Structures Using C,N/A,Second Year Diploma,Semester - 3,https://drive.google.com/file/d/12Z1LOgg5fYIp606l409Vv_QWNrecPizV/view?usp=drivesdk
Database Management System,N/A,Second Year Diploma,Semester - 3,https://drive.google.com/file/d/12Z5JFKpNZpjrClpH6GhlkrfZCmKOvOSr/view?usp=drivesdk
Database Management System,N/A,Second Year Diploma,Semester - 3,https://drive.google.com/file/d/12fq5ihpauDSkim6evoEwbMTz8cK0Itpv/view?usp=drivesdk
Database Management System,Tech Knowledge Publication,Second Year Diploma,Semester - 3,https://drive.google.com/file/d/12oOEHT2Dzp3rRBR2Xfh3oLd6e6cwca2t/view?usp=drivesdk
Data Structures Using C,Tech - Max Publication,Second Year Diploma,Semester - 3,https://drive.google.com/file/d/12q1CAeCTjgDO4teWuUJrgHjJU6fkD1JQ/view?usp=drivesdk
Digital Electronics,N/A,Second Year Diploma,Semester - 3,https://drive.google.com/file/d/12yl3AUndrt_rGbJJPzfaEqfKMxFfumJw/view?usp=drivesdk
Computer Graphics,N/A,Second Year Diploma,Semester - 3,https://drive.google.com/file/d/13-ytnGbAoFd9mKySSfvHzNV4iP0WMn4z/view?usp=drivesdk
