Sr. No.,Exam Day,Date,Session,Time Slot,Duration,Subject Code,Subject Name,Schema
1,1,23-04-2026,Morning,09:30 A.M. to 12:30 P.M.,3,22225,BASIC ELECTRONICS,CO-2-I
2,1,23-04-2026,Afternoon,02:00 P.M. to 05:00 P.M.,3,22501,WATER RESOURCE  ENGINEERING,"CE-5-I, CE-5-G, CE-5-E, CE-5-C"
3,1,23-04-2026,Afternoon,02:00 P.M. to 05:00 P.M.,3,22516,OPERATING SYSTEMS,"CO-5-I, CO-5-C"
4,1,23-04-2026,Afternoon,02:00 P.M. to 05:00 P.M.,3,22531,CONTROL SYSTEMS AND PLC,"EJ-5-I, EJ-5-G"
5,1,23-04-2026,Afternoon,02:00 P.M. to 05:00 P.M.,3,22541,CONTROL SYSTEMS,EJ-6-E
6,1,23-04-2026,Afternoon,02:00 P.M. to 06:00 P.M.,4,315313,THEORY OF STRUCTURE,CE-5-K
7,1,23-04-2026,Afternoon,02:00 P.M. to 05:00 P.M.,3,315319,OPERATING SYSTEM,CO-5-K
8,1,23-04-2026,Afternoon,02:00 P.M. to 05:00 P.M.,3,315339,MOBILE & WIRELESS COMMUNICATION,EJ-5-K
9,1,23-04-2026,Afternoon,02:00 P.M. to 05:00 P.M.,3,315371,POWER ENGINEERING,ME-5-K
10,2,24-04-2026,Morning,09:30 A.M. to 12:30 P.M.,3,22656,AUTOMOBILE ENGINEERING,ME-6-I
11,2,24-04-2026,Morning,09:30 A.M. to 12:30 P.M.,3,316307,CONTRACTS AND BILLING,CE-6-K
12,2,24-04-2026,Morning,09:30 A.M. to 12:30 P.M.,3,316314,SOFTWARE TESTING,CO-6-K
13,2,24-04-2026,Morning,09:30 A.M. to 12:30 P.M.,3,316332,OPTICAL NETWORK AND SATELLITE COMMUNICATION,EJ-6-K
14,2,24-04-2026,Morning,09:30 A.M. to 01:30 P.M.,4,316357,DESIGN OF MACHINE ELEMENTS,ME-6-K
15,2,24-04-2026,Afternoon,02:00 P.M. to 05:00 P.M.,3,22305,CONCRETE TECHNOLOGY,CE-3-I
16,2,24-04-2026,Afternoon,02:00 P.M. to 05:00 P.M.,3,22319,DATABASE MANAGEMENT SYSTEM,"CO-3-I, CO-3-G, CO-3-C"
17,2,24-04-2026,Afternoon,02:00 P.M. to 05:00 P.M.,3,22337,THERMAL ENGINEERING,ME-3-I
18,2,24-04-2026,Afternoon,02:00 P.M. to 05:00 P.M.,3,313301,DATA STRUCTURE USING C,CO-3-K
19,2,24-04-2026,Afternoon,02:00 P.M. to 05:00 P.M.,3,313308,STRENGTH OF MATERIALS,"CE-3-K, ME-3-K"
20,2,24-04-2026,Afternoon,02:00 P.M. to 05:00 P.M.,3,313324,ANALOG ELECTRONICS,EJ-3-K
21,3,27-04-2026,Morning,09:30 A.M. to 12:30 P.M.,3,22401,HYDRAULICS,"CE-4-I, CE-4-G, CE-4-E, CE-4-C"
22,3,27-04-2026,Morning,09:30 A.M. to 12:30 P.M.,3,22412,JAVA PROGRAMMING,CO-4-I
23,3,27-04-2026,Morning,09:30 A.M. to 12:30 P.M.,3,22423,LINEAR INTEGRATED CIRCUITS,"EJ-4-I, EJ-4-G"
24,3,27-04-2026,Morning,09:30 A.M. to 12:30 P.M.,3,22445,FLUID MECHANICS AND MACHINERY,"ME-4-I, ME-4-G, ME-4-E, ME-4-C"
25,3,27-04-2026,Morning,09:30 A.M. to 12:30 P.M.,3,313313,THEORY OF MACHINES,ME-4-K
26,3,27-04-2026,Morning,09:30 A.M. to 01:30 P.M.,4,314313,"ESTIMATING, COSTING AND VALUATION",CE-4-K
27,3,27-04-2026,Morning,09:30 A.M. to 12:30 P.M.,3,314317,JAVA PROGRAMMING,CO-4-K
28,3,27-04-2026,Morning,09:30 A.M. to 12:30 P.M.,3,314326,DIGITAL COMMUNICATION SYSTEMS,EJ-4-K
29,4,28-04-2026,Morning,09:30 A.M. to 12:30 P.M.,3,22217,ELECTRONIC ENGINEERING MATERIALS,EJ-2-I
30,4,28-04-2026,Morning,09:30 A.M. to 12:30 P.M.,3,312301,APPLIED MATHEMATICS,"EJ-2-K, ME-2-K, CO-2-K, CE-2-K, CO-2-I, ME-2-I, CO-2-G, ME-2-G"
31,4,28-04-2026,Afternoon,02:00 P.M. to 06:00 P.M.,4,22502,DESIGN OF STEEL AND RCC STRUCTURES,CE-5-I
32,4,28-04-2026,Afternoon,02:00 P.M. to 05:00 P.M.,3,22521,ADVANCED DATABASE MANAGEMENT SYSTEMS  (ELECTIVE-I),CO-5-I
33,4,28-04-2026,Afternoon,02:00 P.M. to 05:00 P.M.,3,22533,MOBILE AND WIRELESS COMMUNICATION,EJ-5-I
34,4,28-04-2026,Afternoon,02:00 P.M. to 05:00 P.M.,3,22537,MICROCONTROLLER,"EJ-5-G, EJ-5-E, EJ-5-C"
